,UF,Município,Estabelecimento,Tipo,Endereço
1754,RS,"Sant'Ana do Livramento","CAPS AD","CAPS AD","JOAO MANOEL, 277 Bairro: CENTRO CEP: 97572693 Fone: 39681171"
1755,RS,"Sant'Ana do Livramento","CAPS I","CAPS I","SALGADO FILHO, 962 Bairro: CENTRO CEP: 97573684 Fone: (55)39681154"
1756,RS,"Santa Rosa","CAPS AD MOVIMENTO","CAPS AD","AV FLORES DA CUNHA, 1321 Bairro: CRUZEIRO CEP: 98789188 Fone: (55)35135158"
1757,RS,"Santa Rosa","CAPS NOVO RUMO","CAPS II","AV FLORES DA CUNHA, S/N Bairro: CRUZEIRO CEP: 98789186 Fone: (55)35135157"
1758,RS,"Santa Vitória do Palmar","CAPS CASA NOVA VIDA STA VIT PALMAR","CAPS II","GENERAL CANABARRO, 358 Bairro: COXILHA CEP: 96230000 Fone: (53)2631400"
1759,RS,Santiago,"CAPS AD SANTIAGO","CAPS AD","LICERIA GENRO, 65 Bairro: CENTRO CEP: 97700640 Fone: (55) 32499988"
1760,RS,Santiago,"CAPS I NOSSA CASA","CAPS I","BENTO GONCALVES, 168 Bairro: GASPAR DUTRA CEP: 97705015 Fone: (55) 32499977"
1761,RS,"Santo Ângelo","CAPS AD SANTO ANGELO","CAPS AD","RUA MARECHAL FLORIANO, 498 Bairro: JARDIM DAS PALMEIRAS CEP: 98801650 Fone: 5533132543"
1762,RS,"Santo Ângelo","CAPSI II HAKANI SANTO ANGELO","CAPS i","RUA PADRE AFONSO RODRIGUES, 820 Bairro: JARDIM DAS PALMEIRAS CEP: 98804290 Fone: 5533132569"
1763,RS,"Santo Ângelo","CAPS CENTRO DE ATENCAO PSICOSSOCIAL SANTO ANGELO","CAPS II","RUA PADRE JOAO DE CASTILHOS, 719 Bairro: JARDIM DAS PALMEIRAS CEP: 98804380 Fone: 55 3313 1870"
1764,RS,"Santo Antônio da Patrulha","SEMPRE VIVA","CAPS I","RUA CORONEL JOSE MACIEL, 167 Bairro: CIDADE ALTA CEP: 95500000 Fone: (51)36626769"
1765,RS,"São Borja","CAPS AD III SAO BORJA","CAPS AD III","OLINTO ARAMI SILVA, 362 Bairro: CENTRO CEP: 97670000 Fone: 5534316945"
1766,RS,"São Borja","CAPS DR CAIO ESCOBAR","CAPS I","RUA EDDIE FREIRE NUNES, 496 Bairro: CENTRO CEP: 97670000 Fone: (55)43311669"
1767,RS,"São Francisco de Assis","CAPS I NOVA VIDA","CAPS I","RUA SILVA JARDIM, S/N Bairro: CENTRO CEP: 97610000"
1768,RS,"São Francisco de Paula","CAPSI SAO FRANCISCO DE PAULA","CAPS I","RUA 31 DE MARCO, 60 Bairro: CAMPO DO MEIO CEP: 95400000 Fone: (54)32442690"
1769,RS,"São Gabriel","CENTRO DE ATENDIMENTO EM SAUDE MENTAL","CAPS I","AVENIDA FRANCISCO HERMENEGILDO DA SILVA, 1663 Bairro: CENTRO CEP: 97314164 Fone: (55)33232 0494"
1770,RS,"São Jerônimo","CAPS I SAO JERONIMO","CAPS I","RAMIRO BARCELOS, 155 Bairro: CENTRO CEP: 96700000 Fone: (51) 3651.2138"
1771,RS,"São José do Norte","CAPS SAO JOSE DO NORTE","CAPS I","PRESIDENTE GETULIO VARGAS, 866 Bairro: CARLOS SANTOS CEP: 96225000 Fone: 053 32381327"
1772,RS,"São Leopoldo","CAPS AD SAO LEOPOLDO","CAPS AD","RUA SATURNINO DE BRITO, 68 Bairro: SAO JOSE CEP: 93010120 Fone: 51 35661739"
1773,RS,"São Leopoldo","CENTRO DE ATENCAO PSICOSSOCIAL INFANTIL AQUARELA","CAPS i","RUA SAO FRANCISCO, 807 Bairro: CENTRO CEP: 93010240 Fone: 51 35884154"
1774,RS,"São Leopoldo","CAPS CAPILE","CAPS II","RUA 1 DE MARCO, 957 Bairro: CENTRO CEP: 93010210 Fone: (51)35903238"
1775,RS,"São Lourenço do Sul","CAPS AD III 24 HORAS PEROLA DA LAGOA","CAPS AD III","AV PROF IZOLINA PASSOS, 1736 Bairro: NAVEGANTES CEP: 96170000 Fone: (53)32512826"
1776,RS,"São Lourenço do Sul","SISTEMA DE ATENCAO A CRIANCA PELA INCLUSAO SACI","CAPS i","RUA CANDOCA FERREIRA, 161 Bairro: CENTRO CEP: 96170000 Fone: (53)32519520"
1777,RS,"São Lourenço do Sul","CAPS CENTRO COMUNIT DE SAUDE MENTAL SAO LOURENCO DO SUL","CAPS I","RUA ALVARES CABRAL, 101 Bairro: CENTRO CEP: 96170000 Fone: (53)32519510"
1778,RS,"São Luiz Gonzaga","CAPS AD SAO LUIZ GONZAGA","CAPS AD","BEIJAMIM CONSTANTE, S/N Bairro: DUQUE DE CAXIAS CEP: 97800000 Fone: 553352-9090"
1779,RS,"São Luiz Gonzaga","CAPS CENTRO DE ATENCAO PSICOSSOCIAL SAO LUIZ GONZAGA","CAPS II","RUA FERNANDO MACHADO, 2899 Bairro: AGRICOLA CEP: 97800000 Fone: (55)33524020"
1780,RS,"São Pedro do Sul","CAPS I SAO PEDRO DO SUL","CAPS I","ERNESTO VAGNER, 408 Bairro: CENTRO CEP: 97400000 Fone: 55 32766160/6158"
1781,RS,"São Sebastião do Caí","CAPS ANCORAGEM","CAPS I","RUA PINHEIRO MACHADO, 509 Bairro: CENTRO CEP: 95760000 Fone: 51-3635-2500"
1782,RS,"São Sepé","CAPS I SAO SEPE","CAPS I","RUA HUMAITA, 1206 Bairro: CENTRO CEP: 97340000 Fone: (55) 3233-2137"
1783,RS,Sapiranga,"U S MENTAL CAPS I SAPIRANGA","CAPS I","EPITACIO PESSOA, 446 Bairro: OESTE CEP: 93800016 Fone: (51)5993331"
1784,RS,"Sapucaia do Sul","CAPS AD PASSARELA","CAPS AD","ALFREDO JULIANO, 560 Bairro: PRIMOR CEP: 93220470 Fone: 3474 1382"
1785,RS,"Sapucaia do Sul","CAPS II BEM ESTAR","CAPS II","RUA GUERREIRO LIMA, S/N Bairro: CENTRO CEP: 93214430 Fone: (51)34741833"
1786,RS,Tapejara,"CAPS FABIANA SAGER FELINI","CAPS I","JOAO XXIII, 10 Bairro: SAO PAULO CEP: 99950000 Fone: 54-3344-3159"
1787,RS,Taquara,"CAPS AD TAQUARA","CAPS AD","RUA SEBASTIAO AMORETTI, 1875 Bairro: MORRO DO LEONCIO CEP: 95612554 Fone: 51 35413672"
1788,RS,Taquara,"CAPS I TAQUARA","CAPS I","RUA B, 111 Bairro: SANTA TEREZINHA CEP: 95600066 Fone: 05135411111"
1789,RS,Taquari,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA JOSE BIZARRO NETO, 1 Bairro: COQUEIROS CEP: 95860000 Fone: (51) 3653 6235"
1790,RS,"Tenente Portela","RECONSTRUINDO LACOS CAPS I","CAPS I","AVENIDA SANTA ROSA, 609 Bairro: CENTRO CEP: 98500000 Fone: 55 3551 1507"
1791,RS,Torres,"CENTRO DE ATENDIMENTO PSICOSSOCIAL RENASCER","CAPS I","AVENIDA DO RIACHO, 980 Bairro: IGRA CEP: 95560000 Fone: 5136643718"
1792,RS,Tramandaí,"CAPS VIVA A VIDA","CAPS II","RUA VERGUEIROS, 234 Bairro: ZONA NOVA CEP: 95590000"
1793,RS,"Três Coroas","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL DE TRES COROAS I","CAPS I","RUA FREDERICO RITTER, 11 Bairro: LOTEAMENTO EUCALIPTO CEP: 95660000 Fone: 5135464850"
1794,RS,"Três de Maio","CAPS MUNDO MELHOR","CAPS I","AVENIDA BRASIL, 289 Bairro: SAO FRANCISCO CEP: 98910000 Fone: 55 3535 1943"
1795,RS,"Três Passos","CENTRO DE ATENCAO PSICOSOCIAL CAPS I TRES PASSOS","CAPS I","AV DUQUE DE CAXIAS, 541 Bairro: CENTRO CEP: 98600000 Fone: 55 3522 0442"
1796,RS,Triunfo,"CAPS I TRIUNFO","CAPS I","RUA DEMETRIO RIBEIRO, 104 Bairro: CENTRO CEP: 95840000 Fone: (51)36544015"
1797,RS,Tupanciretã,"CAPS I JULIO CASARIN","CAPS I","RUA JOAO MOREIRA ALBERTO, 181 Bairro: CENTRO CEP: 98170000 Fone: (55) 3272.3376"
1798,RS,Uruguaiana,"SERVICO DE SAUDE MENTAL URUGUAIANA","CAPS II","PRESIDENTE VARGAS, 2948 Bairro: CENTRO CEP: 97501656 Fone: (55)4121558"
1799,RS,Vacaria,"CENTRO DE ATENCAO PSICOSOCIAL DE VACARIA","CAPS I","FABRICIO TELLES DE FARIAS, 47 Bairro: GLORIA CEP: 95216038 Fone: 54-32316468"
1800,RS,"Venâncio Aires","CAPS AD CENTRO DE ATENCAO PSICOSSOCIAL EM ALCOOL E DROGAS","CAPS AD","RUA VISCONDE DO RIO BRANCO, 1495 Bairro: CENTRO CEP: 95800000 Fone: 5139831043"
1801,RS,"Venâncio Aires","CAPS II CENTRO DE ATENDIMENTO PSICOSSOCIAL","CAPS II","VISCONDE DO RIO BRANCO, 517 Bairro: CENTRO CEP: 95800000 Fone: (51)39831045"
1802,RS,"Vera Cruz","CENTRO DE ATENDIMENTO PSICOLOGICO E PSIQUIATRICO","CAPS I","RUA JACOB SCHNEIDER, 121 Bairro: CENTRO CEP: 96880000 Fone: (51) 3718-3709"
1803,RS,Veranópolis,"CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","DR JOSE MONTAURY, 894 Bairro: CENTRO CEP: 95330000 Fone: 54 3441 7622"
1804,RS,Viamão,"CAPS II AD NOVA VIDA VIAMAO","CAPS AD","RUA ACORES, 500 Bairro: TARUMA CEP: 94415400 Fone: 34858762"
1805,RS,Viamão,"CAPS II CENTRO RENASCER VIAMAO","CAPS II","RUA DR VALTER AZEREDO, 121 Bairro: CENTRO CEP: 94410480 Fone: (51)34928913"
1806,RS,Viamão,"CAPS II CASA AZUL VIAMAO","CAPS II","RUA LEOPOLDO MIGUES, 55 Bairro: SAO LUCAS CEP: 94410400 Fone: 30542451"
1807,SC,"Abelardo Luz","CENTRO DE ATENCAO PSCICOSSOCIAL CAPS","CAPS I","RUA EGIDIO JOAO GUERRA, 600 Bairro: ALVORADA CEP: 89830000 Fone: (49)34455169"
1808,SC,"Água Doce","CAPS LUIZ VIECELI","CAPS I","RUA FREI SILVANO, 00 Bairro: CENTRO CEP: 89654000 Fone: 4935240490"
1809,SC,Araranguá,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA SILVEIRA JUNIOR, S/N Bairro: CENTRO CEP: 88900069 Fone: (48)39031905"
1810,SC,"Balneário Camboriú","UE CAPS AD","CAPS AD","5 AVENIDA ESQUINA RUA CHAPECO, S/N Bairro: MUNICIPIOS CEP: 88337300 Fone: (47) 3363-4465"
1811,SC,"Balneário Camboriú","UE CAPS II CENTRO DE ATENCAO PSICOSSOCIAL","CAPS II","RUA 916, 382 Bairro: CENTRO CEP: 88330570 Fone: (47) 3361-9311"
1812,SC,"Balneário Piçarras","CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","JOAO DE DEUS CARVALHO, 713 Bairro: SANTO ANTONIO CEP: 88380000 Fone: 4733450617"
1813,SC,Biguaçu,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS BIGUACU","CAPS I","RUA PAULO SOUZA, 27 Bairro: PRAIA JOAO ROSA CEP: 88160296 Fone: (48) 3039-8468"
1814,SC,Blumenau,"CAPS AD","CAPS AD","RUA HERMANN HERING, 766 Bairro: BOM RETIRO CEP: 89010600 Fone: (47) 3381-6888"
1815,SC,Blumenau,"CAPS INFANTO JUVENIL","CAPS i","RUA ALFREDO GUNTHER, 73 Bairro: VILA FORMOSA CEP: 89012060 Fone: (47) 3381-7393"
1816,SC,Blumenau,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL II","CAPS II","RUA NORBERTO SEARA HEUSI, 167 Bairro: ESCOLA AGRICOLA CEP: 89037800 Fone: (47) 3381-6906"
1817,SC,"Braço do Norte","CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA SENADOR NEREU RAMOS, 1862 Bairro: CENTRO CEP: 88750000 Fone: (48) 3626-0191"
1818,SC,Brusque,"CAPS AD BRUSQUE","CAPS AD","RUA HERCILIO LUZ, 63 Bairro: CENTRO 1 CEP: 88350300 Fone: 47 3306-9303"
1819,SC,Brusque,"CAPS II BRUSQUE","CAPS II","RUA HERCILIO LUZ, 257 Bairro: CENTRO CEP: 88350300 Fone: 47 3306-9305"
1820,SC,Caçador,"CAPSAD CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS","CAPS AD","FERNANDO MACHADO, 360 Bairro: CENTRO CEP: 89500154 Fone: 356140907"
1821,SC,Caçador,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS II","PINHEIRO MACHADO, 184 Bairro: VILA PARAISO CEP: 89503079 Fone: 4935610904"
1822,SC,Camboriú,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA MANAGUA, 157 Bairro: CENTRO CEP: 88345689"
1823,SC,"Campo Erê","CAPS I MICRO REGIONAL DE CAMPO ERE","CAPS I","AVENIDA BANDEIRANTES, 1438 Bairro: CENTRO CEP: 89980000 Fone: 49 36551099"
1824,SC,"Campos Novos","CAPS VIDA E SAUDE","CAPS I","JEAN MARTINS RIBEIRO, S/N Bairro: APARECIDA CEP: 89620000 Fone: (49) 5441375"
1825,SC,Canoinhas,"CENTRO DE ATENCAO PSICOSSOCIAL CAMINHO DE LUZ","CAPS I","BASILIO HUMENHUK ESQUINA COM ANTONIO LILLER, 44 Bairro: TRICOLIN CEP: 89462206 Fone: (47)36221310"
1826,SC,Capinzal,"CAPS CAPINZAL","CAPS I","RUA LUIZ DORINI, 175 Bairro: CENTRO CEP: 89665000 Fone: 49 35554470"
1827,SC,"Capivari de Baixo","CAPS I NOVO OLHAR","CAPS I","AV GENERAL MENDONCA LIMA, 589 Bairro: CENTRO CEP: 88745000 Fone: 483623-5306"
1828,SC,Chapecó,"CAPS AD CENTRO DE ATENCAO PSICOSSOCIAL DE ALCOOL E DROGAS","CAPS AD III","MANIRA TEREZINHA CLENIS SARQUIS SARTORI, 200 Bairro: CENTRO CEP: 89806278 Fone: 49- 2049 9066"
1829,SC,Chapecó,"CAPSI CENTRO DE ATENCAO PSICOSSOCIAL DE CCA E ADOLECENTE","CAPS i","RUA URUGUAI, 510 Bairro: JARDIM ITALIA CEP: 89802501 Fone: (49)20499067"
1830,SC,Chapecó,"CAPS II CENTRO DE ATENCAO PSICOSSOCIAL","CAPS II","RUA GUARULHO, 352 Bairro: PASSO DOS FORTES CEP: 89805760 Fone: (49)20499073"
1831,SC,"Cocal do Sul","CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA JAIME ELIAS, 235 Bairro: JARDIM ITALIA CEP: 88845000 Fone: (48) 34471446"
1832,SC,Concórdia,"CAPS 1 CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","MARECHAL DEODORO, 1280 Bairro: CENTRO CEP: 89700055 Fone: (49)3444-8579"
1833,SC,Criciúma,"CAPS II AD CRICIUMA","CAPS AD","RUA JOAO BATISTA RITA, 641 Bairro: SANTA LUZIA CEP: 88806100 Fone: 4834458488"
1834,SC,Criciúma,"CAPS INFANTO JUVENIL CRICIUMA","CAPS i","RUA MARIO GREGORIO DOS REIS, 596 Bairro: SANTA BARBARA CEP: 88804240 Fone: 4834037350"
1835,SC,Criciúma,"CAPS II CRICIUMA","CAPS II","RUA PAULO DE FRONTIN, 187 Bairro: SANTA BARBARA CEP: 88804070 Fone: 4834458736"
1836,SC,Criciúma,"CAPS III CRICIUMA","CAPS III","RUA ALMIRANTE BARROSO, 947 Bairro: CENTRO CEP: 88802249 Fone: 4834033450"
1837,SC,Curitibanos,"CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA ARCHIAS GANZ, S/N Bairro: CENTRO CEP: 89520000 Fone: (49) 32452125"
1838,SC,"Dionísio Cerqueira","CAPS CENTRO DE ATENCAO PSICO SOCIAL I","CAPS I","AVENIDA WASCHINGTON LUIZ, 166 Bairro: CENTRO CEP: 89950000 Fone: 049-3644-2785"
1839,SC,Florianópolis,"CAPSAD ILHA","CAPS AD","RUA VEREADOR FREDERICO VERAS, 60 Bairro: PANTANAL CEP: 88040200 Fone: (48) 32698799"
1840,SC,Florianópolis,"CAPSAD CONTINENTE","CAPS AD","RUA GUALBERTO SENNA, 0 Bairro: JARDIM ATLANTICO CEP: 88095390 Fone: (48) 3240-5472"
1841,SC,Florianópolis,"CAPSI CENTRO DE ATENCAO PSICOSSOCIAL CRIANCAS E ADOLESCENTES","CAPS i","RUA SANTOS DUMONT, 124 Bairro: AGRONOMICA CEP: 88015020 Fone: (48) 33241399"
1842,SC,Florianópolis,"CAPS PONTA DO CORAL","CAPS II","RUA JOSE CANDIDO DA SILVA, 125 Bairro: ESTREITO CEP: 88075250 Fone: (48) 32285074"
1843,SC,Forquilhinha,"CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AVENIDA 25 DE JULHO, 3130 Bairro: CENTRO CEP: 88850000 Fone: 48-34631015"
1844,SC,Fraiburgo,"CAPS I","CAPS I","RODOVIA SC 456 KM 39, S/N Bairro: LIBERATA CEP: 89580000 Fone: (49) 32564043"
1845,SC,Garopaba,"CENTRO DE ATENCAO PSICOSSOCIAL DE GAROPABA","CAPS I","ESTRADA GERAL AMBROSIO, S/N Bairro: AMBROSIO CEP: 88495000 Fone: (048)32543124"
1846,SC,Gaspar,"CAPS I","CAPS I","AVENIDA CONSTRUTOR AUGUSTO VITORIO DESCHAMPS, 63 Bairro: SANTA TEREZINHA CEP: 89110082 Fone: 4733328219"
1847,SC,"Herval d'Oeste","CENTRO DE ATENCAO PSICOSOCIAL CAPS HERVAL D OESTE","CAPS I","RUA SANTOS DUMONT, 277 Bairro: CENTRO CEP: 89610000 Fone: (49) 35546608"
1848,SC,Ibirama,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS I","RUA MARQUES DO HERVAL, S/N Bairro: PONTO CHIC CEP: 89140000 Fone: 4733572535"
1849,SC,Içara,"CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA EGIDIO COLONETTI, S/N Bairro: CENTRO CEP: 88820000 Fone: (48)4325233"
1850,SC,Imbituba,"CAPS I CENTRO DE ATENCAO PSICOSSOCIAL SUS","CAPS I","RUA 3 DE OUTUBRO, 000 Bairro: CENTRO CEP: 88780000 Fone: ( )"
1851,SC,Indaial,"SAPI SERVICO DE ATENCAO PSICOSSOCIAL","CAPS I","AVENIDA PREFEITO ALFREDO HARDT, 330 Bairro: ESTRADA DAS AREIAS CEP: 89087340 Fone: (47)3333-4431"
1852,SC,Itaiópolis,"CAPS I CENTRO DE ATENCAO PSICO SOCIAL","CAPS I","RUA ALOIS TYSZKA, 250 Bairro: CENTRO CEP: 89340000 Fone: 47 3652-2768"
1853,SC,Itajaí,"CAPS AD","CAPS AD","RUA ALBERTO WERNER, 645 Bairro: CENTRO CEP: 88303055 Fone: (47) 3908-5863"
1854,SC,Itajaí,"CAPS I","CAPS i","RUA ALFREDO TROMPOWSKI, 405 Bairro: VILA OPERARIA CEP: 88302240 Fone: (47) 39085861"
1855,SC,Itajaí,"CAPS 2","CAPS II","RUA ALFREDO TROMPOWSKY, 485 Bairro: CENTRO CEP: 88301310 Fone: (47) 3908-5764"
1856,SC,Itapema,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA 123 A, 150 Bairro: CENTRO CEP: 88220000 Fone: 47 32671534"
1857,SC,"Jaraguá do Sul","CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS CAPS AD","CAPS AD","RUA JOAO PICOLLI, 488 Bairro: CENTRO CEP: 89251590 Fone: 3370 5693/ 3275 4734"
1858,SC,"Jaraguá do Sul","CENTRO DE ATENCAO PSICOSSOCIAL INFANTO JUVENIL CAPSI","CAPS i","RUA MARTIN STAHL, 381 Bairro: VILA NOVA CEP: 89259310 Fone: 47 3370 6595"
1859,SC,"Jaraguá do Sul","CENTRO DE ATENCAO PSICOSSOCIAL CAPS II","CAPS II","RUA OLIVIO DOMINGOS BRUGNAGO, 500 Bairro: VILA NOVA CEP: 89259260 Fone: (47) 3276 0604"
1860,SC,Joaçaba,"CAPS I EVOLUIR","CAPS I","RUA MARTINHO LUTERO, 252 Bairro: CRUZEIRO DO SUL CEP: 89600000 Fone: (49)35224953"
1861,SC,Joinville,"CAPS AD CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS","CAPS AD","DR PLACIDO OLIMPIO DE OLIVEIRA, 1489 Bairro: ANITA GARIBALDI CEP: 89202165 Fone: (47) 34233367"
1862,SC,Joinville,"CAPSIJ II CUCA LEGAL CENTRO DE ATENCAO PSICO INFANTO JUVENIL","CAPS i","RUA ALEXANDRE SCHLEMM, 275 Bairro: BUCAREIN CEP: 89202417 Fone: 47 3422-7636"
1863,SC,Joinville,"CAPS II NOSSA CASA","CAPS II","PERNAMBUCO, 115 Bairro: ANITA GARIBALDI CEP: 89202181 Fone: (47) 3422-7161"
1864,SC,Joinville,"CAPS III DE LIRIOS","CAPS III","RUA TUBARAO, 128 Bairro: AMERICA CEP: 89204340 Fone: 47 3422-8526"
1865,SC,Lages,"CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS CAPSAD","CAPS AD","PRACA LEOBERTO LEAL, 20 Bairro: CENTRO CEP: 88501310 Fone: 4932241000"
1866,SC,Lages,"CENTRO DE ATENCAO PSICOSSOCIAL DA CRIANCA E ADOLECENTE CAPSI","CAPS i","RUA CORONEL CORDOVA, 1078 Bairro: CENTRO CEP: 88502200 Fone: 49 32517974"
1867,SC,Lages,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS II","AVENIDA JOAO GOULART, S/N Bairro: PISANI CEP: 88502000 Fone: (49)2250259"
1868,SC,Laguna,"CENTRO DE ATENCAO PSICO SOCIAL","CAPS I","RUA ALMIRANTE LAMEGO, S/N Bairro: CAMPO DE FORA CEP: 88790000"
1869,SC,"Lauro Muller","CAPS I CENTRO DE ATENCAO PSICOSOCIAL DE LAURO MULLER","CAPS I","RUA PE HERCILIO CAPPELLER, S/N Bairro: CENTRO CEP: 88880000 Fone: 34645483"
1870,SC,Mafra,"CAPS I GRUPO ESPERANCA CASA AZUL","CAPS I","JOSE BOITEUX, S/N Bairro: VILA IVETE CEP: 89300000 Fone: 36429983"
1871,SC,Maravilha,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS I","TRAVESSA ZACARIAS KASPER, 75 Bairro: CENTRO CEP: 89874000 Fone: (049)3664 0519"
1872,SC,Mondaí,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS MONDAI","CAPS I","RUA IRACEMA, 160 Bairro: CENTRO CEP: 89893000 Fone: 49-36743160"
1873,SC,"Monte Castelo","CENTRO DE ATENCAO PSICOSSOCIAL HERCILIO TORQUATO DE OLIVEIRA","CAPS I","RUA XV DE NOVEMBRO, 567 Bairro: CENTRO CEP: 89380000 Fone: 47 36540087"
1874,SC,"Morro da Fumaça","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA PIETRO MACCARI, 51 Bairro: MONTE VERDE CEP: 88830000"
1875,SC,Navegantes,"CAPS I DE NAVEGANTES","CAPS I","RUA JOSE SCHUBERT, 648 Bairro: CENTRO CEP: 88370116 Fone: (47) 31852008"
1876,SC,Orleans,"UNIDADE SAO JUDAS TADEU CAPS I","CAPS I","RUA LUSSA LIBRELATO, 50 Bairro: CAROLINA CEP: 88870000 Fone: (48)38860170"
1877,SC,Palhoça,CAPSAD,"CAPS AD","RUA AMARO DE FERRIRA MACEDO, 77 Bairro: CENTRO CEP: 88130280 Fone: 48 30475534"
1878,SC,Palhoça,CAPSI,"CAPS i","GRACILIANO CARLOS DE QUADROS, 180 Bairro: CENTRO CEP: 88131320"
1879,SC,Palhoça,"CAPS II PALHOCA","CAPS II","IRMO SCHEIDT, 45 Bairro: CENTRO CEP: 88130250 Fone: 48 30475535"
1880,SC,Palmitos,"CAPS I","CAPS I","AVENIDA BRASIL, 1128 Bairro: CENTRO CEP: 89887000 Fone: (49)36479716"
1881,SC,Papanduva,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS I","RUA MAFRA, S/N Bairro: CENTRO CEP: 89370000 Fone: (47)36531574"
1882,SC,Pomerode,"CENTRO DE ATENCAO PSICOSSOCIAL DE POMERODE CAPS","CAPS I","RUA MORRO STRASMANN, 1240 Bairro: TESTO REGA CEP: 89107000 Fone: (47)33822391"
1883,SC,"Porto União","CAPS I","CAPS I","RUA GENERAL BORNANN, 441 Bairro: CENTRO CEP: 89400000 Fone: 42 3523-9404"
1884,SC,Quilombo,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AVENIDA CORONEL ERNESTO BERTASO, 1195 Bairro: CENTRO CEP: 89850000 Fone: (49)33464036"
1885,SC,"Rio do Sul","CAPS CENTRO DE ATENCAO PSICOSSOCIAL JOSE P CUNHA","CAPS I","RUA JULIO ROUSSENQ FILHO, 517 Bairro: JARDIM AMERICA CEP: 89160196 Fone: (47) 3525-3645"
1886,SC,"Rio Negrinho","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","RUA DA PAZ, 295 Bairro: CENTRO CEP: 89295000 Fone: (47)36448980"
1887,SC,"Santa Cecília","CAPS SANTA CECILIA","CAPS I","RUA CB JOAO MARIA TEIXEIRA PALHANO, S/N Bairro: CENTRO CEP: 89540000 Fone: 49-32441036"
1888,SC,"Santo Amaro da Imperatriz","CENTRO DE ATENCAO PSICOSSOCIAL I MICROREGIONAL","CAPS I","RAU FREI DALVINO MUNARETTO, 24 Bairro: CENTRO CEP: 88140000 Fone: 32454358"
1889,SC,"São Bento do Sul","CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS II","RUA LARGO HUGO FISCHER, 25 Bairro: CENTRO CEP: 89280364 Fone: 47 36353973"
1890,SC,"São Carlos","CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS I","RUA MONTEIRO LOBATO, 135 Bairro: CENTRO CEP: 89885000 Fone: (49) 3325 1835"
1891,SC,"São Francisco do Sul","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA ALMIRANTE BARROSO, 490 Bairro: ROCIO PEQUENO CEP: 89240000 Fone: 47-34442467"
1892,SC,"São Joaquim","UNIDADE CENTRO PSICOSSOCIAL SAO JOAQUIM","CAPS I","AVENIDA JOAO A SCHILISCHTING, 472 Bairro: MARTORANO CEP: 88600000 Fone: (49)2330011"
1893,SC,"São José","CAPS AD","CAPS AD","AV JAIME STEFANO BECKER, S/N Bairro: AREIAS CEP: 88113827 Fone: (48) 3346-4997"
1894,SC,"São José","CAPS II SAO JOSE","CAPS II","MARILIA BORGES VAZ, S/N Bairro: AREIAS CEP: 88113827 Fone: (48) 3346-8525"
1895,SC,"São Lourenço do Oeste","CAPS I","CAPS I","MARIA PIOVESANA GUARNIERI, 155 Bairro: MENEGUETTI CEP: 89990000 Fone: 49 33448411"
1896,SC,"São Miguel do Oeste","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I SMOESTE","CAPS I","RUA ALMIRANTE BARROSO, 0 Bairro: CENTRO CEP: 89900000"
1897,SC,Seara,"CAPS SEARA","CAPS I","RUA TIRADENTES, 123 Bairro: CENTRO CEP: 89770000 Fone: 49 34522410"
1898,SC,Siderópolis,"CAPS I CENTRO DE ATENCAO PSICOSOCIAL DE SIDEROPOLIS","CAPS I","RUA ENGENHEIRO AUGUSTO BATISTA PEREIRA, 47 Bairro: CENTRO CEP: 88860000 Fone: 48-34358958"
